strategy,source,horizon,total_return,sharpe,max_drawdown
momentum,generic,1y,0.23606911470321656,1.4947164382460933,-0.053024895064193056
peter_lynch,famous,1y,0.02462160177772499,-0.35840421298198116,-0.03645083499340196
carl_icahn,famous,1y,-0.03267171143039782,-2.9518371464519153,-0.05342175607983768
masayoshi_son,famous,1y,0.24594679879295334,1.18710844781263,-0.08812532379853466
prince_alwaleed,famous,1y,0.009992041105652216,-2.6562391990365786,-0.006340640029327216
ai_revolution,theme,1y,0.11061788095296965,0.5521879018667811,-0.07767137297421545
small_cap_value,theme,1y,0.15044520371724124,1.2546825779937079,-0.037686427717022464
defensive_rotation,recession,1y,0.14329225392407619,0.8783044154824667,-0.1001316948333889
dogs_of_dow,unconventional,1y,-0.009890512357140113,-1.2508820771298568,-0.04212310731765412
quality_factor,unconventional,1y,-0.0012148355586248938,-1.180409977830965,-0.0390736781371146
dual_momentum,research,1y,0.047023976558842495,0.14002102740488567,-0.03587795202814614
multi_factor_smart_beta,research,1y,0.0037817292003634595,-0.6847037348992484,-0.049071483051266074
low_vol_anomaly,research,1y,0.05578405810611797,0.3631319117370847,-0.03088226540545902
momentum_crash_hedge,research,1y,0.1820594041967778,1.1770022318558326,-0.049733461460121364
mean_variance_optimal,research,1y,0.04638096846496498,0.11814969555441826,-0.0642854737054952
global_rotation,research,1y,0.024183530163708555,-0.2713906293180412,-0.035879961421665496
momentum,generic,3y,1.3497953523569755,1.3557739108601712,-0.17947870743581584
peter_lynch,famous,3y,0.25261460299209504,0.44656536327989477,-0.0892193053503656
carl_icahn,famous,3y,0.31064564082361357,0.6461978608905484,-0.05595977411972042
masayoshi_son,famous,3y,0.9084707630520654,0.7733238085805744,-0.2811502063535497
prince_alwaleed,famous,3y,0.4446963011385916,1.0179412358764905,-0.0950940112224361
ai_revolution,theme,3y,1.8355648688918,1.4111796111466002,-0.2200418381492717
small_cap_value,theme,3y,0.5614601557595911,1.1045940766706686,-0.0461360901088963
defensive_rotation,recession,3y,0.25376448691474507,0.32583139177308,-0.22272654677591774
dogs_of_dow,unconventional,3y,0.33107576037395403,0.5434959833220302,-0.08336928111994124
quality_factor,unconventional,3y,0.3194244208030692,0.7037667777453854,-0.08850330956821795
dual_momentum,research,3y,0.2789245295841023,0.46782169461841333,-0.14515552861701086
multi_factor_smart_beta,research,3y,0.27712904580129316,0.5353193958675488,-0.10352681235804695
low_vol_anomaly,research,3y,0.06214746950729144,-0.29481579420558335,-0.09847316248986804
momentum_crash_hedge,research,3y,1.1714999353425193,1.2616196764776637,-0.2080275006433172
mean_variance_optimal,research,3y,0.2575083237072744,0.4004965717416277,-0.16151477265561298
global_rotation,research,3y,0.5242872681562045,1.000020603717231,-0.08143495909050258
momentum,generic,5y,0.9903487325585778,0.6004285532596854,-0.35328107088507144
peter_lynch,famous,5y,0.3539121367458371,0.25831437369933496,-0.19347418914956183
carl_icahn,famous,5y,0.6125512592476741,0.5211675171832884,-0.13016285738462885
masayoshi_son,famous,5y,1.3776082132328282,0.6231475386313631,-0.5382409929976555
prince_alwaleed,famous,5y,0.5461741216849278,0.4243817237785049,-0.22621223773494903
ai_revolution,theme,5y,1.784993817829267,0.8517793506399566,-0.30227426686857883
small_cap_value,theme,5y,0.02201952463761514,-0.11763892961857139,-0.40736835654255665
defensive_rotation,recession,5y,0.9158236815813598,0.6035316492555767,-0.28171479863977245
dogs_of_dow,unconventional,5y,0.437170489105553,0.2978925427155287,-0.29441554581563645
quality_factor,unconventional,5y,0.5933379986554692,0.595582009428956,-0.15672510942310258
dual_momentum,research,5y,0.6015984886471597,0.5488691008008483,-0.2448003522379858
multi_factor_smart_beta,research,5y,0.7659748651525322,0.7356587489244547,-0.15932079371371588
low_vol_anomaly,research,5y,0.2696698722369377,0.15382361259293822,-0.13662460388433095
momentum_crash_hedge,research,5y,1.1560491455401443,0.7162643768350277,-0.2507069423763254
mean_variance_optimal,research,5y,0.9289115851011689,0.8794231812783581,-0.10421157417421034
global_rotation,research,5y,0.7239035199074477,0.6127742513755717,-0.26117773010877765
momentum,generic,10y,5.699964411309096,0.8631724598759241,-0.3534719330652494
peter_lynch,famous,10y,1.5028093428810165,0.4578854953852205,-0.2615840484370736
carl_icahn,famous,10y,0.07809677629920886,-0.07288629440010588,-0.5513505284786497
masayoshi_son,famous,10y,10.682965398371023,0.8972995507126599,-0.5384644768541469
prince_alwaleed,famous,10y,0.6327861304497531,0.14158839820594749,-0.34545501600900275
ai_revolution,theme,10y,7.8326968562161134,0.9467068718124653,-0.30248612346592896
small_cap_value,theme,10y,-0.027423099873448042,-0.24896611547789446,-0.46817461854534925
defensive_rotation,recession,10y,2.120476502876071,0.5683418615877698,-0.2818298916427049
dogs_of_dow,unconventional,10y,1.5511381339177626,0.4014013772581713,-0.34015630050051515
quality_factor,unconventional,10y,2.295771179166441,0.675882106218986,-0.257814439049755
dual_momentum,research,10y,0.7989538945835151,0.21435718638024903,-0.3057620791659581
multi_factor_smart_beta,research,10y,2.526996768790107,0.6951700150796976,-0.24163954892619022
low_vol_anomaly,research,10y,0.5147047602397845,0.07043659995421239,-0.12661235398164206
momentum_crash_hedge,research,10y,7.430126438467125,1.0547523092890843,-0.2508622982411055
mean_variance_optimal,research,10y,2.055229653122743,0.705682322448774,-0.156176133202942
global_rotation,research,10y,2.5710120526925424,0.7100388039814252,-0.2613355164491461
